id	client_name	部位id(武器110以上(剑110)，头盔101，衣服102，腰带103，裤子104，鞋子105，时装106，戒指107，徽章108，魂器109,装备类型必须大于100,因为物品类型小于100)	角色id	强化等级	强化获得属性AttrId（当前等级对应属性的绝对值，非累加）	附加属性	[{下降等级,百分比}]	消耗id	武器强化特效，[]是equip_effect表ID
10107065	战士戒指强化65	107	1	65	10710065		[{0,100}]	1265	
10107066	战士戒指强化66	107	1	66	10710066		[{0,100}]	1266	
10107067	战士戒指强化67	107	1	67	10710067		[{0,100}]	1267	
10107068	战士戒指强化68	107	1	68	10710068		[{0,100}]	1268	
10107069	战士戒指强化69	107	1	69	10710069		[{0,100}]	1269	
10107070	战士戒指强化70	107	1	70	10710070		[{0,100}]	1270	
10107071	战士戒指强化71	107	1	71	10710071		[{0,100}]	1271	
10107072	战士戒指强化72	107	1	72	10710072		[{0,100}]	1272	
10107073	战士戒指强化73	107	1	73	10710073		[{0,100}]	1273	
10107074	战士戒指强化74	107	1	74	10710074		[{0,100}]	1274	
10107075	战士戒指强化75	107	1	75	10710075		[{0,100}]	1275	
10107076	战士戒指强化76	107	1	76	10710076		[{0,100}]	1276	
10107077	战士戒指强化77	107	1	77	10710077		[{0,100}]	1277	
10107078	战士戒指强化78	107	1	78	10710078		[{0,100}]	1278	
10107079	战士戒指强化79	107	1	79	10710079		[{0,100}]	1279	
10107080	战士戒指强化80	107	1	80	10710080		[{0,100}]	1280	
10107081	战士戒指强化81	107	1	81	10710081		[{0,100}]	1281	
10107082	战士戒指强化82	107	1	82	10710082		[{0,100}]	1282	
10107083	战士戒指强化83	107	1	83	10710083		[{0,100}]	1283	
10107084	战士戒指强化84	107	1	84	10710084		[{0,100}]	1284	
10107085	战士戒指强化85	107	1	85	10710085		[{0,100}]	1285	
10107086	战士戒指强化86	107	1	86	10710086		[{0,100}]	1286	
10107087	战士戒指强化87	107	1	87	10710087		[{0,100}]	1287	
10107088	战士戒指强化88	107	1	88	10710088		[{0,100}]	1288	
10107089	战士戒指强化89	107	1	89	10710089		[{0,100}]	1289	
10107090	战士戒指强化90	107	1	90	10710090		[{0,100}]	1290	
10107091	战士戒指强化91	107	1	91	10710091		[{0,100}]	1291	
10107092	战士戒指强化92	107	1	92	10710092		[{0,100}]	1292	
10107093	战士戒指强化93	107	1	93	10710093		[{0,100}]	1293	
10107094	战士戒指强化94	107	1	94	10710094		[{0,100}]	1294	
10107095	战士戒指强化95	107	1	95	10710095		[{0,100}]	1295	
10107096	战士戒指强化96	107	1	96	10710096		[{0,100}]	1296	
10107097	战士戒指强化97	107	1	97	10710097		[{0,100}]	1297	
10107098	战士戒指强化98	107	1	98	10710098		[{0,100}]	1298	
10107099	战士戒指强化99	107	1	99	10710099		[{0,100}]	1299	
10107100	战士戒指强化100	107	1	100	10710100		[{0,100}]	1300	
20110000	法师武器强化0	110	2	0	10110000		[{0,100}]	1	
20110001	法师武器强化1	110	2	1	10110001		[{0,100}]	1001	[8]
20110002	法师武器强化2	110	2	2	10110002		[{0,100}]	1002	[8]
20110003	法师武器强化3	110	2	3	10110003		[{0,100}]	1003	[8]
20110004	法师武器强化4	110	2	4	10110004		[{0,100}]	1004	[8]
20110005	法师武器强化5	110	2	5	10110005		[{0,100}]	1005	[8]
20110006	法师武器强化6	110	2	6	10110006		[{0,100}]	1006	[8]
20110007	法师武器强化7	110	2	7	10110007		[{0,100}]	1007	[8]
20110008	法师武器强化8	110	2	8	10110008		[{0,100}]	1008	[8]
20110009	法师武器强化9	110	2	9	10110009		[{0,100}]	1009	[8]
20110010	法师武器强化10	110	2	10	10110010		[{0,100}]	1010	[8,9]
20110011	法师武器强化11	110	2	11	10110011		[{0,100}]	1011	[8,9]
20110012	法师武器强化12	110	2	12	10110012		[{0,100}]	1012	[8,9]
20110013	法师武器强化13	110	2	13	10110013		[{0,100}]	1013	[8,9]
20110014	法师武器强化14	110	2	14	10110014		[{0,100}]	1014	[8,9]
20110015	法师武器强化15	110	2	15	10110015		[{0,100}]	1015	[8,9]
20110016	法师武器强化16	110	2	16	10110016		[{0,100}]	1016	[8,9]
20110017	法师武器强化17	110	2	17	10110017		[{0,100}]	1017	[8,9]
20110018	法师武器强化18	110	2	18	10110018		[{0,100}]	1018	[8,9]
20110019	法师武器强化19	110	2	19	10110019		[{0,100}]	1019	[8,9]
20110020	法师武器强化20	110	2	20	10110020		[{0,100}]	1020	[8,10]
20110021	法师武器强化21	110	2	21	10110021		[{0,100}]	1021	[8,10]
20110022	法师武器强化22	110	2	22	10110022		[{0,100}]	1022	[8,10]
20110023	法师武器强化23	110	2	23	10110023		[{0,100}]	1023	[8,10]
20110024	法师武器强化24	110	2	24	10110024		[{0,100}]	1024	[8,10]
20110025	法师武器强化25	110	2	25	10110025		[{0,100}]	1025	[8,10]
20110026	法师武器强化26	110	2	26	10110026		[{0,100}]	1026	[8,10]
20110027	法师武器强化27	110	2	27	10110027		[{0,100}]	1027	[8,10]
20110028	法师武器强化28	110	2	28	10110028		[{0,100}]	1028	[8,10]
20110029	法师武器强化29	110	2	29	10110029		[{0,100}]	1029	[8,10]
20110030	法师武器强化30	110	2	30	10110030		[{0,100}]	1030	[8,11]
20110031	法师武器强化31	110	2	31	10110031		[{0,100}]	1031	[8,11]
20110032	法师武器强化32	110	2	32	10110032		[{0,100}]	1032	[8,11]
20110033	法师武器强化33	110	2	33	10110033		[{0,100}]	1033	[8,11]
20110034	法师武器强化34	110	2	34	10110034		[{0,100}]	1034	[8,11]
20110035	法师武器强化35	110	2	35	10110035		[{0,100}]	1035	[8,11]
20110036	法师武器强化36	110	2	36	10110036		[{0,100}]	1036	[8,11]
20110037	法师武器强化37	110	2	37	10110037		[{0,100}]	1037	[8,11]
20110038	法师武器强化38	110	2	38	10110038		[{0,100}]	1038	[8,11]
20110039	法师武器强化39	110	2	39	10110039		[{0,100}]	1039	[8,11]
20110040	法师武器强化40	110	2	40	10110040		[{0,100}]	1040	[8,12]
20110041	法师武器强化41	110	2	41	10110041		[{0,100}]	1041	[8,12]
20110042	法师武器强化42	110	2	42	10110042		[{0,100}]	1042	[8,12]
20110043	法师武器强化43	110	2	43	10110043		[{0,100}]	1043	[8,12]
20110044	法师武器强化44	110	2	44	10110044		[{0,100}]	1044	[8,12]
20110045	法师武器强化45	110	2	45	10110045		[{0,100}]	1045	[8,12]
20110046	法师武器强化46	110	2	46	10110046		[{0,100}]	1046	[8,12]
20110047	法师武器强化47	110	2	47	10110047		[{0,100}]	1047	[8,12]
20110048	法师武器强化48	110	2	48	10110048		[{0,100}]	1048	[8,12]
20110049	法师武器强化49	110	2	49	10110049		[{0,100}]	1049	[8,12]
20110050	法师武器强化50	110	2	50	10110050		[{0,100}]	1050	[8,13]
20110051	法师武器强化51	110	2	51	10110051		[{0,100}]	1051	[8,13]
20110052	法师武器强化52	110	2	52	10110052		[{0,100}]	1052	[8,13]
20110053	法师武器强化53	110	2	53	10110053		[{0,100}]	1053	[8,13]
20110054	法师武器强化54	110	2	54	10110054		[{0,100}]	1054	[8,13]
20110055	法师武器强化55	110	2	55	10110055		[{0,100}]	1055	[8,13]
20110056	法师武器强化56	110	2	56	10110056		[{0,100}]	1056	[8,13]
20110057	法师武器强化57	110	2	57	10110057		[{0,100}]	1057	[8,13]
20110058	法师武器强化58	110	2	58	10110058		[{0,100}]	1058	[8,13]
20110059	法师武器强化59	110	2	59	10110059		[{0,100}]	1059	[8,13]
20110060	法师武器强化60	110	2	60	10110060		[{0,100}]	1060	[8,13]
20110061	法师武器强化61	110	2	61	10110061		[{0,100}]	1061	[8,13]
20110062	法师武器强化62	110	2	62	10110062		[{0,100}]	1062	[8,13]
20110063	法师武器强化63	110	2	63	10110063		[{0,100}]	1063	[8,13]
20110064	法师武器强化64	110	2	64	10110064		[{0,100}]	1064	[8,13]
20110065	法师武器强化65	110	2	65	10110065		[{0,100}]	1065	[8,13]
20110066	法师武器强化66	110	2	66	10110066		[{0,100}]	1066	[8,13]
20110067	法师武器强化67	110	2	67	10110067		[{0,100}]	1067	[8,13]
20110068	法师武器强化68	110	2	68	10110068		[{0,100}]	1068	[8,13]
20110069	法师武器强化69	110	2	69	10110069		[{0,100}]	1069	[8,13]
20110070	法师武器强化70	110	2	70	10110070		[{0,100}]	1070	[8,13]
20110071	法师武器强化71	110	2	71	10110071		[{0,100}]	1071	[8,13]
20110072	法师武器强化72	110	2	72	10110072		[{0,100}]	1072	[8,13]
20110073	法师武器强化73	110	2	73	10110073		[{0,100}]	1073	[8,13]
20110074	法师武器强化74	110	2	74	10110074		[{0,100}]	1074	[8,13]
20110075	法师武器强化75	110	2	75	10110075		[{0,100}]	1075	[8,13]
20110076	法师武器强化76	110	2	76	10110076		[{0,100}]	1076	[8,13]
20110077	法师武器强化77	110	2	77	10110077		[{0,100}]	1077	[8,13]
20110078	法师武器强化78	110	2	78	10110078		[{0,100}]	1078	[8,13]
20110079	法师武器强化79	110	2	79	10110079		[{0,100}]	1079	[8,13]
20110080	法师武器强化80	110	2	80	10110080		[{0,100}]	1080	[8,13]
20110081	法师武器强化81	110	2	81	10110081		[{0,100}]	1081	[8,13]
20110082	法师武器强化82	110	2	82	10110082		[{0,100}]	1082	[8,13]
20110083	法师武器强化83	110	2	83	10110083		[{0,100}]	1083	[8,13]
20110084	法师武器强化84	110	2	84	10110084		[{0,100}]	1084	[8,13]
20110085	法师武器强化85	110	2	85	10110085		[{0,100}]	1085	[8,13]
20110086	法师武器强化86	110	2	86	10110086		[{0,100}]	1086	[8,13]
20110087	法师武器强化87	110	2	87	10110087		[{0,100}]	1087	[8,13]
20110088	法师武器强化88	110	2	88	10110088		[{0,100}]	1088	[8,13]
20110089	法师武器强化89	110	2	89	10110089		[{0,100}]	1089	[8,13]
20110090	法师武器强化90	110	2	90	10110090		[{0,100}]	1090	[8,13]
20110091	法师武器强化91	110	2	91	10110091		[{0,100}]	1091	[8,13]
20110092	法师武器强化92	110	2	92	10110092		[{0,100}]	1092	[8,13]
20110093	法师武器强化93	110	2	93	10110093		[{0,100}]	1093	[8,13]
20110094	法师武器强化94	110	2	94	10110094		[{0,100}]	1094	[8,13]
20110095	法师武器强化95	110	2	95	10110095		[{0,100}]	1095	[8,13]
20110096	法师武器强化96	110	2	96	10110096		[{0,100}]	1096	[8,13]
20110097	法师武器强化97	110	2	97	10110097		[{0,100}]	1097	[8,13]
20110098	法师武器强化98	110	2	98	10110098		[{0,100}]	1098	[8,13]
20110099	法师武器强化99	110	2	99	10110099		[{0,100}]	1099	[8,13]
20110100	法师武器强化100	110	2	100	10110100		[{0,100}]	1100	[8,13]
20101000	法师头盔强化0	101	2	0	10210000		[{0,100}]	1	
20101001	法师头盔强化1	101	2	1	10210001		[{0,100}]	1001	
20101002	法师头盔强化2	101	2	2	10210002		[{0,100}]	1002	
20101003	法师头盔强化3	101	2	3	10210003		[{0,100}]	1003	
20101004	法师头盔强化4	101	2	4	10210004		[{0,100}]	1004	
20101005	法师头盔强化5	101	2	5	10210005		[{0,100}]	1005	
20101006	法师头盔强化6	101	2	6	10210006		[{0,100}]	1006	
20101007	法师头盔强化7	101	2	7	10210007		[{0,100}]	1007	
20101008	法师头盔强化8	101	2	8	10210008		[{0,100}]	1008	
20101009	法师头盔强化9	101	2	9	10210009		[{0,100}]	1009	
20101010	法师头盔强化10	101	2	10	10210010		[{0,100}]	1010	
20101011	法师头盔强化11	101	2	11	10210011		[{0,100}]	1011	
20101012	法师头盔强化12	101	2	12	10210012		[{0,100}]	1012	
20101013	法师头盔强化13	101	2	13	10210013		[{0,100}]	1013	
20101014	法师头盔强化14	101	2	14	10210014		[{0,100}]	1014	
20101015	法师头盔强化15	101	2	15	10210015		[{0,100}]	1015	
20101016	法师头盔强化16	101	2	16	10210016		[{0,100}]	1016	
20101017	法师头盔强化17	101	2	17	10210017		[{0,100}]	1017	
20101018	法师头盔强化18	101	2	18	10210018		[{0,100}]	1018	
20101019	法师头盔强化19	101	2	19	10210019		[{0,100}]	1019	
20101020	法师头盔强化20	101	2	20	10210020		[{0,100}]	1020	
20101021	法师头盔强化21	101	2	21	10210021		[{0,100}]	1021	
20101022	法师头盔强化22	101	2	22	10210022		[{0,100}]	1022	
20101023	法师头盔强化23	101	2	23	10210023		[{0,100}]	1023	
20101024	法师头盔强化24	101	2	24	10210024		[{0,100}]	1024	
20101025	法师头盔强化25	101	2	25	10210025		[{0,100}]	1025	
20101026	法师头盔强化26	101	2	26	10210026		[{0,100}]	1026	
20101027	法师头盔强化27	101	2	27	10210027		[{0,100}]	1027	
20101028	法师头盔强化28	101	2	28	10210028		[{0,100}]	1028	
20101029	法师头盔强化29	101	2	29	10210029		[{0,100}]	1029	
20101030	法师头盔强化30	101	2	30	10210030		[{0,100}]	1030	
20101031	法师头盔强化31	101	2	31	10210031		[{0,100}]	1031	
20101032	法师头盔强化32	101	2	32	10210032		[{0,100}]	1032	
20101033	法师头盔强化33	101	2	33	10210033		[{0,100}]	1033	
20101034	法师头盔强化34	101	2	34	10210034		[{0,100}]	1034	
20101035	法师头盔强化35	101	2	35	10210035		[{0,100}]	1035	
20101036	法师头盔强化36	101	2	36	10210036		[{0,100}]	1036	
20101037	法师头盔强化37	101	2	37	10210037		[{0,100}]	1037	
20101038	法师头盔强化38	101	2	38	10210038		[{0,100}]	1038	
20101039	法师头盔强化39	101	2	39	10210039		[{0,100}]	1039	
20101040	法师头盔强化40	101	2	40	10210040		[{0,100}]	1040	
20101041	法师头盔强化41	101	2	41	10210041		[{0,100}]	1041	
20101042	法师头盔强化42	101	2	42	10210042		[{0,100}]	1042	
20101043	法师头盔强化43	101	2	43	10210043		[{0,100}]	1043	
20101044	法师头盔强化44	101	2	44	10210044		[{0,100}]	1044	
20101045	法师头盔强化45	101	2	45	10210045		[{0,100}]	1045	
20101046	法师头盔强化46	101	2	46	10210046		[{0,100}]	1046	
20101047	法师头盔强化47	101	2	47	10210047		[{0,100}]	1047	
20101048	法师头盔强化48	101	2	48	10210048		[{0,100}]	1048	
20101049	法师头盔强化49	101	2	49	10210049		[{0,100}]	1049	
20101050	法师头盔强化50	101	2	50	10210050		[{0,100}]	1050	
20101051	法师头盔强化51	101	2	51	10210051		[{0,100}]	1051	
20101052	法师头盔强化52	101	2	52	10210052		[{0,100}]	1052	
20101053	法师头盔强化53	101	2	53	10210053		[{0,100}]	1053	
20101054	法师头盔强化54	101	2	54	10210054		[{0,100}]	1054	
20101055	法师头盔强化55	101	2	55	10210055		[{0,100}]	1055	
20101056	法师头盔强化56	101	2	56	10210056		[{0,100}]	1056	
20101057	法师头盔强化57	101	2	57	10210057		[{0,100}]	1057	
20101058	法师头盔强化58	101	2	58	10210058		[{0,100}]	1058	
20101059	法师头盔强化59	101	2	59	10210059		[{0,100}]	1059	
20101060	法师头盔强化60	101	2	60	10210060		[{0,100}]	1060	
20101061	法师头盔强化61	101	2	61	10210061		[{0,100}]	1061	
20101062	法师头盔强化62	101	2	62	10210062		[{0,100}]	1062	
20101063	法师头盔强化63	101	2	63	10210063		[{0,100}]	1063	
20101064	法师头盔强化64	101	2	64	10210064		[{0,100}]	1064	
20101065	法师头盔强化65	101	2	65	10210065		[{0,100}]	1065	
20101066	法师头盔强化66	101	2	66	10210066		[{0,100}]	1066	
20101067	法师头盔强化67	101	2	67	10210067		[{0,100}]	1067	
20101068	法师头盔强化68	101	2	68	10210068		[{0,100}]	1068	
20101069	法师头盔强化69	101	2	69	10210069		[{0,100}]	1069	
20101070	法师头盔强化70	101	2	70	10210070		[{0,100}]	1070	
20101071	法师头盔强化71	101	2	71	10210071		[{0,100}]	1071	
20101072	法师头盔强化72	101	2	72	10210072		[{0,100}]	1072	
20101073	法师头盔强化73	101	2	73	10210073		[{0,100}]	1073	
20101074	法师头盔强化74	101	2	74	10210074		[{0,100}]	1074	
20101075	法师头盔强化75	101	2	75	10210075		[{0,100}]	1075	
20101076	法师头盔强化76	101	2	76	10210076		[{0,100}]	1076	
20101077	法师头盔强化77	101	2	77	10210077		[{0,100}]	1077	
20101078	法师头盔强化78	101	2	78	10210078		[{0,100}]	1078	
20101079	法师头盔强化79	101	2	79	10210079		[{0,100}]	1079	
20101080	法师头盔强化80	101	2	80	10210080		[{0,100}]	1080	
20101081	法师头盔强化81	101	2	81	10210081		[{0,100}]	1081	
20101082	法师头盔强化82	101	2	82	10210082		[{0,100}]	1082	
20101083	法师头盔强化83	101	2	83	10210083		[{0,100}]	1083	
20101084	法师头盔强化84	101	2	84	10210084		[{0,100}]	1084	
20101085	法师头盔强化85	101	2	85	10210085		[{0,100}]	1085	
20101086	法师头盔强化86	101	2	86	10210086		[{0,100}]	1086	
20101087	法师头盔强化87	101	2	87	10210087		[{0,100}]	1087	
20101088	法师头盔强化88	101	2	88	10210088		[{0,100}]	1088	
20101089	法师头盔强化89	101	2	89	10210089		[{0,100}]	1089	
20101090	法师头盔强化90	101	2	90	10210090		[{0,100}]	1090	
20101091	法师头盔强化91	101	2	91	10210091		[{0,100}]	1091	
20101092	法师头盔强化92	101	2	92	10210092		[{0,100}]	1092	
20101093	法师头盔强化93	101	2	93	10210093		[{0,100}]	1093	
20101094	法师头盔强化94	101	2	94	10210094		[{0,100}]	1094	
20101095	法师头盔强化95	101	2	95	10210095		[{0,100}]	1095	
20101096	法师头盔强化96	101	2	96	10210096		[{0,100}]	1096	
20101097	法师头盔强化97	101	2	97	10210097		[{0,100}]	1097	
20101098	法师头盔强化98	101	2	98	10210098		[{0,100}]	1098	
20101099	法师头盔强化99	101	2	99	10210099		[{0,100}]	1099	
20101100	法师头盔强化100	101	2	100	10210100		[{0,100}]	1100	
20102000	法师衣服强化0	102	2	0	10310000		[{0,100}]	1	
20102001	法师衣服强化1	102	2	1	10310001		[{0,100}]	1001	
20102002	法师衣服强化2	102	2	2	10310002		[{0,100}]	1002	
20102003	法师衣服强化3	102	2	3	10310003		[{0,100}]	1003	
20102004	法师衣服强化4	102	2	4	10310004		[{0,100}]	1004	
20102005	法师衣服强化5	102	2	5	10310005		[{0,100}]	1005	
20102006	法师衣服强化6	102	2	6	10310006		[{0,100}]	1006	
20102007	法师衣服强化7	102	2	7	10310007		[{0,100}]	1007	
20102008	法师衣服强化8	102	2	8	10310008		[{0,100}]	1008	
20102009	法师衣服强化9	102	2	9	10310009		[{0,100}]	1009	
20102010	法师衣服强化10	102	2	10	10310010		[{0,100}]	1010	
20102011	法师衣服强化11	102	2	11	10310011		[{0,100}]	1011	
20102012	法师衣服强化12	102	2	12	10310012		[{0,100}]	1012	
20102013	法师衣服强化13	102	2	13	10310013		[{0,100}]	1013	
20102014	法师衣服强化14	102	2	14	10310014		[{0,100}]	1014	
20102015	法师衣服强化15	102	2	15	10310015		[{0,100}]	1015	
20102016	法师衣服强化16	102	2	16	10310016		[{0,100}]	1016	
20102017	法师衣服强化17	102	2	17	10310017		[{0,100}]	1017	
20102018	法师衣服强化18	102	2	18	10310018		[{0,100}]	1018	
20102019	法师衣服强化19	102	2	19	10310019		[{0,100}]	1019	
20102020	法师衣服强化20	102	2	20	10310020		[{0,100}]	1020	
20102021	法师衣服强化21	102	2	21	10310021		[{0,100}]	1021	
20102022	法师衣服强化22	102	2	22	10310022		[{0,100}]	1022	
20102023	法师衣服强化23	102	2	23	10310023		[{0,100}]	1023	
20102024	法师衣服强化24	102	2	24	10310024		[{0,100}]	1024	
20102025	法师衣服强化25	102	2	25	10310025		[{0,100}]	1025	
20102026	法师衣服强化26	102	2	26	10310026		[{0,100}]	1026	
20102027	法师衣服强化27	102	2	27	10310027		[{0,100}]	1027	
20102028	法师衣服强化28	102	2	28	10310028		[{0,100}]	1028	
20102029	法师衣服强化29	102	2	29	10310029		[{0,100}]	1029	
20102030	法师衣服强化30	102	2	30	10310030		[{0,100}]	1030	
20102031	法师衣服强化31	102	2	31	10310031		[{0,100}]	1031	
20102032	法师衣服强化32	102	2	32	10310032		[{0,100}]	1032	
20102033	法师衣服强化33	102	2	33	10310033		[{0,100}]	1033	
20102034	法师衣服强化34	102	2	34	10310034		[{0,100}]	1034	
20102035	法师衣服强化35	102	2	35	10310035		[{0,100}]	1035	
20102036	法师衣服强化36	102	2	36	10310036		[{0,100}]	1036	
20102037	法师衣服强化37	102	2	37	10310037		[{0,100}]	1037	
20102038	法师衣服强化38	102	2	38	10310038		[{0,100}]	1038	
20102039	法师衣服强化39	102	2	39	10310039		[{0,100}]	1039	
20102040	法师衣服强化40	102	2	40	10310040		[{0,100}]	1040	
20102041	法师衣服强化41	102	2	41	10310041		[{0,100}]	1041	
20102042	法师衣服强化42	102	2	42	10310042		[{0,100}]	1042	
20102043	法师衣服强化43	102	2	43	10310043		[{0,100}]	1043	
20102044	法师衣服强化44	102	2	44	10310044		[{0,100}]	1044	
20102045	法师衣服强化45	102	2	45	10310045		[{0,100}]	1045	
20102046	法师衣服强化46	102	2	46	10310046		[{0,100}]	1046	
20102047	法师衣服强化47	102	2	47	10310047		[{0,100}]	1047	
20102048	法师衣服强化48	102	2	48	10310048		[{0,100}]	1048	
20102049	法师衣服强化49	102	2	49	10310049		[{0,100}]	1049	
20102050	法师衣服强化50	102	2	50	10310050		[{0,100}]	1050	
20102051	法师衣服强化51	102	2	51	10310051		[{0,100}]	1051	
20102052	法师衣服强化52	102	2	52	10310052		[{0,100}]	1052	
20102053	法师衣服强化53	102	2	53	10310053		[{0,100}]	1053	
20102054	法师衣服强化54	102	2	54	10310054		[{0,100}]	1054	
20102055	法师衣服强化55	102	2	55	10310055		[{0,100}]	1055	
20102056	法师衣服强化56	102	2	56	10310056		[{0,100}]	1056	
20102057	法师衣服强化57	102	2	57	10310057		[{0,100}]	1057	
20102058	法师衣服强化58	102	2	58	10310058		[{0,100}]	1058	
20102059	法师衣服强化59	102	2	59	10310059		[{0,100}]	1059	
20102060	法师衣服强化60	102	2	60	10310060		[{0,100}]	1060	
20102061	法师衣服强化61	102	2	61	10310061		[{0,100}]	1061	
20102062	法师衣服强化62	102	2	62	10310062		[{0,100}]	1062	
20102063	法师衣服强化63	102	2	63	10310063		[{0,100}]	1063	
20102064	法师衣服强化64	102	2	64	10310064		[{0,100}]	1064	
20102065	法师衣服强化65	102	2	65	10310065		[{0,100}]	1065	
20102066	法师衣服强化66	102	2	66	10310066		[{0,100}]	1066	
20102067	法师衣服强化67	102	2	67	10310067		[{0,100}]	1067	
20102068	法师衣服强化68	102	2	68	10310068		[{0,100}]	1068	
20102069	法师衣服强化69	102	2	69	10310069		[{0,100}]	1069	
20102070	法师衣服强化70	102	2	70	10310070		[{0,100}]	1070	
20102071	法师衣服强化71	102	2	71	10310071		[{0,100}]	1071	
20102072	法师衣服强化72	102	2	72	10310072		[{0,100}]	1072	
20102073	法师衣服强化73	102	2	73	10310073		[{0,100}]	1073	
20102074	法师衣服强化74	102	2	74	10310074		[{0,100}]	1074	
20102075	法师衣服强化75	102	2	75	10310075		[{0,100}]	1075	
20102076	法师衣服强化76	102	2	76	10310076		[{0,100}]	1076	
20102077	法师衣服强化77	102	2	77	10310077		[{0,100}]	1077	
20102078	法师衣服强化78	102	2	78	10310078		[{0,100}]	1078	
20102079	法师衣服强化79	102	2	79	10310079		[{0,100}]	1079	
20102080	法师衣服强化80	102	2	80	10310080		[{0,100}]	1080	
20102081	法师衣服强化81	102	2	81	10310081		[{0,100}]	1081	
20102082	法师衣服强化82	102	2	82	10310082		[{0,100}]	1082	
20102083	法师衣服强化83	102	2	83	10310083		[{0,100}]	1083	
20102084	法师衣服强化84	102	2	84	10310084		[{0,100}]	1084	
20102085	法师衣服强化85	102	2	85	10310085		[{0,100}]	1085	
20102086	法师衣服强化86	102	2	86	10310086		[{0,100}]	1086	
20102087	法师衣服强化87	102	2	87	10310087		[{0,100}]	1087	
20102088	法师衣服强化88	102	2	88	10310088		[{0,100}]	1088	
20102089	法师衣服强化89	102	2	89	10310089		[{0,100}]	1089	
20102090	法师衣服强化90	102	2	90	10310090		[{0,100}]	1090	
20102091	法师衣服强化91	102	2	91	10310091		[{0,100}]	1091	
20102092	法师衣服强化92	102	2	92	10310092		[{0,100}]	1092	
20102093	法师衣服强化93	102	2	93	10310093		[{0,100}]	1093	
20102094	法师衣服强化94	102	2	94	10310094		[{0,100}]	1094	
20102095	法师衣服强化95	102	2	95	10310095		[{0,100}]	1095	
20102096	法师衣服强化96	102	2	96	10310096		[{0,100}]	1096	
20102097	法师衣服强化97	102	2	97	10310097		[{0,100}]	1097	
20102098	法师衣服强化98	102	2	98	10310098		[{0,100}]	1098	
20102099	法师衣服强化99	102	2	99	10310099		[{0,100}]	1099	
20102100	法师衣服强化100	102	2	100	10310100		[{0,100}]	1100	
20103000	法师腰带强化0	103	2	0	10410000		[{0,100}]	1	
20103001	法师腰带强化1	103	2	1	10410001		[{0,100}]	1201	
20103002	法师腰带强化2	103	2	2	10410002		[{0,100}]	1202	
20103003	法师腰带强化3	103	2	3	10410003		[{0,100}]	1203	
20103004	法师腰带强化4	103	2	4	10410004		[{0,100}]	1204	
20103005	法师腰带强化5	103	2	5	10410005		[{0,100}]	1205	
20103006	法师腰带强化6	103	2	6	10410006		[{0,100}]	1206	
20103007	法师腰带强化7	103	2	7	10410007		[{0,100}]	1207	
20103008	法师腰带强化8	103	2	8	10410008		[{0,100}]	1208	
20103009	法师腰带强化9	103	2	9	10410009		[{0,100}]	1209	
20103010	法师腰带强化10	103	2	10	10410010		[{0,100}]	1210	
20103011	法师腰带强化11	103	2	11	10410011		[{0,100}]	1211	
20103012	法师腰带强化12	103	2	12	10410012		[{0,100}]	1212	
20103013	法师腰带强化13	103	2	13	10410013		[{0,100}]	1213	
20103014	法师腰带强化14	103	2	14	10410014		[{0,100}]	1214	
20103015	法师腰带强化15	103	2	15	10410015		[{0,100}]	1215	
20103016	法师腰带强化16	103	2	16	10410016		[{0,100}]	1216	
20103017	法师腰带强化17	103	2	17	10410017		[{0,100}]	1217	
20103018	法师腰带强化18	103	2	18	10410018		[{0,100}]	1218	
20103019	法师腰带强化19	103	2	19	10410019		[{0,100}]	1219	
20103020	法师腰带强化20	103	2	20	10410020		[{0,100}]	1220	
20103021	法师腰带强化21	103	2	21	10410021		[{0,100}]	1221	
20103022	法师腰带强化22	103	2	22	10410022		[{0,100}]	1222	
20103023	法师腰带强化23	103	2	23	10410023		[{0,100}]	1223	
20103024	法师腰带强化24	103	2	24	10410024		[{0,100}]	1224	
20103025	法师腰带强化25	103	2	25	10410025		[{0,100}]	1225	
20103026	法师腰带强化26	103	2	26	10410026		[{0,100}]	1226	
20103027	法师腰带强化27	103	2	27	10410027		[{0,100}]	1227	
20103028	法师腰带强化28	103	2	28	10410028		[{0,100}]	1228	
20103029	法师腰带强化29	103	2	29	10410029		[{0,100}]	1229	
20103030	法师腰带强化30	103	2	30	10410030		[{0,100}]	1230	
20103031	法师腰带强化31	103	2	31	10410031		[{0,100}]	1231	
20103032	法师腰带强化32	103	2	32	10410032		[{0,100}]	1232	
20103033	法师腰带强化33	103	2	33	10410033		[{0,100}]	1233	
20103034	法师腰带强化34	103	2	34	10410034		[{0,100}]	1234	
20103035	法师腰带强化35	103	2	35	10410035		[{0,100}]	1235	
20103036	法师腰带强化36	103	2	36	10410036		[{0,100}]	1236	
20103037	法师腰带强化37	103	2	37	10410037		[{0,100}]	1237	
20103038	法师腰带强化38	103	2	38	10410038		[{0,100}]	1238	
20103039	法师腰带强化39	103	2	39	10410039		[{0,100}]	1239	
20103040	法师腰带强化40	103	2	40	10410040		[{0,100}]	1240	
20103041	法师腰带强化41	103	2	41	10410041		[{0,100}]	1241	
20103042	法师腰带强化42	103	2	42	10410042		[{0,100}]	1242	
20103043	法师腰带强化43	103	2	43	10410043		[{0,100}]	1243	
20103044	法师腰带强化44	103	2	44	10410044		[{0,100}]	1244	
