ID为绿装id	套装名	套装部位	随机生成附魔材料次数	装备品质（装备品质，{道具ID，权值}）	产出套装碎片最小值，最大值，种类	分解消费
911003015	天空的终结者	110	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17005}	16001
911004015	天空的终结者	110	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17005}	16001
911005015	天空的终结者	110	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17005}	16001
911006015	天空的终结者	110	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17005}	16001
911007015	天空的终结者	110	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17005}	16001
911008015	天空的终结者	110	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17005}	16001
911009015	天空的终结者	110	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17005}	16001
911010015	天空的终结者	110	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17005}	16001
910100115	天空的梦想者	101	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17005}	16001
910101015	天空的梦想者	101	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17005}	16001
910102015	天空的梦想者	101	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17005}	16001
910103015	天空的梦想者	101	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17005}	16001
910104015	天空的梦想者	101	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17005}	16001
910105015	天空的梦想者	101	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17005}	16001
910106015	天空的梦想者	101	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17005}	16001
910107015	天空的梦想者	101	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17005}	16001
910108015	天空的梦想者	101	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17005}	16001
910109015	天空的梦想者	101	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17005}	16001
910110015	天空的梦想者	101	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17005}	16001
910200115	天空的净化者	102	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17005}	16001
910201015	天空的净化者	102	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17005}	16001
910202015	天空的净化者	102	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17005}	16001
910203015	天空的净化者	102	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17005}	16001
910204015	天空的净化者	102	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17005}	16001
910205015	天空的净化者	102	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17005}	16001
910206015	天空的净化者	102	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17005}	16001
910207015	天空的净化者	102	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17005}	16001
910208015	天空的净化者	102	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17005}	16001
910209015	天空的净化者	102	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17005}	16001
910210015	天空的净化者	102	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17005}	16001
910300115	天空的缔造者	103	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17005}	16001
910301015	天空的缔造者	103	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17005}	16001
910302015	天空的缔造者	103	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17005}	16001
910303015	天空的缔造者	103	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17005}	16001
910304015	天空的缔造者	103	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17005}	16001
910305015	天空的缔造者	103	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17005}	16001
910306015	天空的缔造者	103	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17005}	16001
910307015	天空的缔造者	103	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17005}	16001
910308015	天空的缔造者	103	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17005}	16001
910309015	天空的缔造者	103	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17005}	16001
910310015	天空的缔造者	103	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17005}	16001
910400115	天空的巨擘者	104	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17005}	16001
910401015	天空的巨擘者	104	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17005}	16001
910402015	天空的巨擘者	104	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17005}	16001
910403015	天空的巨擘者	104	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17005}	16001
910404015	天空的巨擘者	104	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17005}	16001
910405015	天空的巨擘者	104	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17005}	16001
910406015	天空的巨擘者	104	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17005}	16001
910407015	天空的巨擘者	104	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17005}	16001
910408015	天空的巨擘者	104	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17005}	16001
910409015	天空的巨擘者	104	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17005}	16001
910410015	天空的巨擘者	104	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17005}	16001
910500115	天空的行者	105	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17005}	16001
910501015	天空的行者	105	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17005}	16001
910502015	天空的行者	105	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17005}	16001
910503015	天空的行者	105	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17005}	16001
910504015	天空的行者	105	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17005}	16001
910505015	天空的行者	105	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17005}	16001
910506015	天空的行者	105	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17005}	16001
910507015	天空的行者	105	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17005}	16001
910508015	天空的行者	105	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17005}	16001
910509015	天空的行者	105	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17005}	16001
910510015	天空的行者	105	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17005}	16001
911000116	智慧的审判者	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17006}	16001
911001016	智慧的审判者	110	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17006}	16001
911002016	智慧的审判者	110	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17006}	16001
911003016	智慧的审判者	110	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17006}	16001
911004016	智慧的审判者	110	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17006}	16001
911005016	智慧的审判者	110	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17006}	16001
911006016	智慧的审判者	110	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17006}	16001
911007016	智慧的审判者	110	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17006}	16001
911008016	智慧的审判者	110	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17006}	16001
911009016	智慧的审判者	110	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17006}	16001
911010016	智慧的审判者	110	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17006}	16001
910100116	智慧的风暴者	101	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17006}	16001
910101016	智慧的风暴者	101	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17006}	16001
910102016	智慧的风暴者	101	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17006}	16001
910103016	智慧的风暴者	101	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17006}	16001
910104016	智慧的风暴者	101	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17006}	16001
910105016	智慧的风暴者	101	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17006}	16001
910106016	智慧的风暴者	101	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17006}	16001
910107016	智慧的风暴者	101	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17006}	16001
910108016	智慧的风暴者	101	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17006}	16001
910109016	智慧的风暴者	101	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17006}	16001
910110016	智慧的风暴者	101	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17006}	16001
910200116	智慧的七窍心	102	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17006}	16001
910201016	智慧的七窍心	102	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17006}	16001
910202016	智慧的七窍心	102	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17006}	16001
910203016	智慧的七窍心	102	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17006}	16001
910204016	智慧的七窍心	102	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17006}	16001
910205016	智慧的七窍心	102	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17006}	16001
910206016	智慧的七窍心	102	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17006}	16001
910207016	智慧的七窍心	102	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17006}	16001
910208016	智慧的七窍心	102	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17006}	16001
910209016	智慧的七窍心	102	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17006}	16001
910210016	智慧的七窍心	102	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17006}	16001
910300116	智慧的守护	103	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17006}	16001
910301016	智慧的守护	103	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17006}	16001
910302016	智慧的守护	103	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17006}	16001
910303016	智慧的守护	103	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17006}	16001
910304016	智慧的守护	103	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17006}	16001
910305016	智慧的守护	103	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17006}	16001
910306016	智慧的守护	103	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17006}	16001
910307016	智慧的守护	103	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17006}	16001
910308016	智慧的守护	103	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17006}	16001
910309016	智慧的守护	103	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17006}	16001
910310016	智慧的守护	103	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17006}	16001
910400116	智慧的跟随	104	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17006}	16001
910401016	智慧的跟随	104	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17006}	16001
910402016	智慧的跟随	104	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17006}	16001
910403016	智慧的跟随	104	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17006}	16001
910404016	智慧的跟随	104	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17006}	16001
910405016	智慧的跟随	104	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17006}	16001
910406016	智慧的跟随	104	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17006}	16001
910407016	智慧的跟随	104	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17006}	16001
910408016	智慧的跟随	104	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17006}	16001
910409016	智慧的跟随	104	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17006}	16001
910410016	智慧的跟随	104	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17006}	16001
910500116	智慧的天行者	105	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17006}	16001
910501016	智慧的天行者	105	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17006}	16001
910502016	智慧的天行者	105	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17006}	16001
910503016	智慧的天行者	105	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17006}	16001
910504016	智慧的天行者	105	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17006}	16001
910505016	智慧的天行者	105	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17006}	16001
910506016	智慧的天行者	105	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17006}	16001
910507016	智慧的天行者	105	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17006}	16001
910508016	智慧的天行者	105	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17006}	16001
910509016	智慧的天行者	105	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17006}	16001
910510016	智慧的天行者	105	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17006}	16001
911000117	虚空的破灭	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17007}	16001
911001017	虚空的破灭	110	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17007}	16001
911002017	虚空的破灭	110	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17007}	16001
911003017	虚空的破灭	110	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17007}	16001
911004017	虚空的破灭	110	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17007}	16001
911005017	虚空的破灭	110	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17007}	16001
911006017	虚空的破灭	110	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17007}	16001
911007017	虚空的破灭	110	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17007}	16001
911008017	虚空的破灭	110	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17007}	16001
911009017	虚空的破灭	110	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17007}	16001
911010017	虚空的破灭	110	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17007}	16001
910100117	虚空的免疫	101	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17007}	16001
910101017	虚空的免疫	101	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17007}	16001
910102017	虚空的免疫	101	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17007}	16001
910103017	虚空的免疫	101	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17007}	16001
910104017	虚空的免疫	101	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17007}	16001
910105017	虚空的免疫	101	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17007}	16001
910106017	虚空的免疫	101	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17007}	16001
910107017	虚空的免疫	101	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17007}	16001
910108017	虚空的免疫	101	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17007}	16001
910109017	虚空的免疫	101	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17007}	16001
910110017	虚空的免疫	101	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17007}	16001
910200117	虚空的幻化	102	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17007}	16001
910201017	虚空的幻化	102	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17007}	16001
910202017	虚空的幻化	102	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17007}	16001
910203017	虚空的幻化	102	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17007}	16001
910204017	虚空的幻化	102	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17007}	16001
910205017	虚空的幻化	102	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17007}	16001
910206017	虚空的幻化	102	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17007}	16001
910207017	虚空的幻化	102	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17007}	16001
910208017	虚空的幻化	102	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17007}	16001
910209017	虚空的幻化	102	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17007}	16001
910210017	虚空的幻化	102	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17007}	16001
910300117	虚空的束缚	103	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17007}	16001
910301017	虚空的束缚	103	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17007}	16001
910302017	虚空的束缚	103	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17007}	16001
910303017	虚空的束缚	103	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17007}	16001
910304017	虚空的束缚	103	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17007}	16001
910305017	虚空的束缚	103	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17007}	16001
910306017	虚空的束缚	103	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17007}	16001
910307017	虚空的束缚	103	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17007}	16001
910308017	虚空的束缚	103	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17007}	16001
910309017	虚空的束缚	103	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17007}	16001
910310017	虚空的束缚	103	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17007}	16001
910400117	虚空的无影	104	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17007}	16001
910401017	虚空的无影	104	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17007}	16001
910402017	虚空的无影	104	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17007}	16001
910403017	虚空的无影	104	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17007}	16001
910404017	虚空的无影	104	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17007}	16001
910405017	虚空的无影	104	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17007}	16001
910406017	虚空的无影	104	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17007}	16001
910407017	虚空的无影	104	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17007}	16001
910408017	虚空的无影	104	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17007}	16001
910409017	虚空的无影	104	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17007}	16001
910410017	虚空的无影	104	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17007}	16001
910500117	虚空的步调	105	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17007}	16001
910501017	虚空的步调	105	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17007}	16001
910502017	虚空的步调	105	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17007}	16001
910503017	虚空的步调	105	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17007}	16001
910504017	虚空的步调	105	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17007}	16001
910505017	虚空的步调	105	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17007}	16001
910506017	虚空的步调	105	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17007}	16001
910507017	虚空的步调	105	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17007}	16001
910508017	虚空的步调	105	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17007}	16001
910509017	虚空的步调	105	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17007}	16001
910510017	虚空的步调	105	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17007}	16001
911000118	炎魔的烙印	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17008}	16001
911001018	炎魔的烙印	110	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17008}	16001
911002018	炎魔的烙印	110	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17008}	16001
911003018	炎魔的烙印	110	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17008}	16001
911004018	炎魔的烙印	110	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17008}	16001
911005018	炎魔的烙印	110	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17008}	16001
911006018	炎魔的烙印	110	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17008}	16001
911007018	炎魔的烙印	110	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17008}	16001
911008018	炎魔的烙印	110	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17008}	16001
911009018	炎魔的烙印	110	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17008}	16001
911010018	炎魔的烙印	110	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17008}	16001
910100118	炎魔的怒火	101	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17008}	16001
910101018	炎魔的怒火	101	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17008}	16001
910102018	炎魔的怒火	101	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17008}	16001
910103018	炎魔的怒火	101	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17008}	16001
910104018	炎魔的怒火	101	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17008}	16001
910105018	炎魔的怒火	101	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17008}	16001
910106018	炎魔的怒火	101	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17008}	16001
910107018	炎魔的怒火	101	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17008}	16001
910108018	炎魔的怒火	101	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17008}	16001
910109018	炎魔的怒火	101	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17008}	16001
910110018	炎魔的怒火	101	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17008}	16001
910200118	炎魔的火焰衣	102	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17008}	16001
910201018	炎魔的火焰衣	102	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17008}	16001
910202018	炎魔的火焰衣	102	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17008}	16001
910203018	炎魔的火焰衣	102	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17008}	16001
910204018	炎魔的火焰衣	102	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17008}	16001
910205018	炎魔的火焰衣	102	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17008}	16001
910206018	炎魔的火焰衣	102	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17008}	16001
910207018	炎魔的火焰衣	102	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17008}	16001
910208018	炎魔的火焰衣	102	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17008}	16001
910209018	炎魔的火焰衣	102	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17008}	16001
910210018	炎魔的火焰衣	102	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17008}	16001
910300118	炎魔的火流星	103	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17008}	16001
910301018	炎魔的火流星	103	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17008}	16001
910302018	炎魔的火流星	103	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17008}	16001
910303018	炎魔的火流星	103	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17008}	16001
910304018	炎魔的火流星	103	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17008}	16001
910305018	炎魔的火流星	103	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17008}	16001
910306018	炎魔的火流星	103	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17008}	16001
910307018	炎魔的火流星	103	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17008}	16001
910308018	炎魔的火流星	103	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17008}	16001
910309018	炎魔的火流星	103	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17008}	16001
910310018	炎魔的火流星	103	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17008}	16001
910400118	炎魔的堕落	104	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17008}	16001
910401018	炎魔的堕落	104	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17008}	16001
910402018	炎魔的堕落	104	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17008}	16001
910403018	炎魔的堕落	104	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17008}	16001
910404018	炎魔的堕落	104	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17008}	16001
910405018	炎魔的堕落	104	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17008}	16001
910406018	炎魔的堕落	104	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17008}	16001
910407018	炎魔的堕落	104	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17008}	16001
910408018	炎魔的堕落	104	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17008}	16001
910409018	炎魔的堕落	104	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17008}	16001
910410018	炎魔的堕落	104	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17008}	16001
910500118	炎魔的足迹	105	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17008}	16001
910501018	炎魔的足迹	105	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17008}	16001
910502018	炎魔的足迹	105	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17008}	16001
910503018	炎魔的足迹	105	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17008}	16001
910504018	炎魔的足迹	105	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17008}	16001
910505018	炎魔的足迹	105	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17008}	16001
910506018	炎魔的足迹	105	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17008}	16001
910507018	炎魔的足迹	105	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17008}	16001
910508018	炎魔的足迹	105	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17008}	16001
910509018	炎魔的足迹	105	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17008}	16001
910510018	炎魔的足迹	105	{10,12}	[{5,[{213,90},{214,10}]}]	{11,12,17008}	16001
911000119	圣徒的救赎	110	{1,2}	[{5,[{213,90},{214,10}]}]	{1,2,17009}	16001
911001019	圣徒的救赎	110	{1,3}	[{5,[{213,90},{214,10}]}]	{2,3,17009}	16001
911002019	圣徒的救赎	110	{2,4}	[{5,[{213,90},{214,10}]}]	{3,4,17009}	16001
911003019	圣徒的救赎	110	{3,5}	[{5,[{213,90},{214,10}]}]	{4,5,17009}	16001
911004019	圣徒的救赎	110	{4,6}	[{5,[{213,90},{214,10}]}]	{5,6,17009}	16001
911005019	圣徒的救赎	110	{5,7}	[{5,[{213,90},{214,10}]}]	{6,7,17009}	16001
911006019	圣徒的救赎	110	{6,8}	[{5,[{213,90},{214,10}]}]	{7,8,17009}	16001
911007019	圣徒的救赎	110	{7,9}	[{5,[{213,90},{214,10}]}]	{8,9,17009}	16001
911008019	圣徒的救赎	110	{8,10}	[{5,[{213,90},{214,10}]}]	{9,10,17009}	16001
911009019	圣徒的救赎	110	{9,11}	[{5,[{213,90},{214,10}]}]	{10,11,17009}	16001
